id,title,year,venue,authority,task_fit,physical_evidence,naturalness_evidence,official_code,primary_source,role
eot,"Synthesizing Robust Adversarial Examples",2018,ICML,A,medium,yes,no,,https://proceedings.mlr.press/v80/athalye18b.html,EOT foundation
fashionadv,"Fashion-Guided Adversarial Attack on Person Segmentation",2021,CVPR Workshops,B,very_high,no,style/content proxy,https://github.com/nii-yamagishilab/fashion_adv,https://openaccess.thecvf.com/content/CVPR2021W/WMF/papers/Treu_Fashion-Guided_Adversarial_Attack_on_Person_Segmentation_CVPRW_2021_paper.pdf,segmentation and clothing prior
patchguard,"PatchGuard: A Provably Robust Defense against Adversarial Patches via Small Receptive Fields and Masking",2021,USENIX Security,A,low,no,not applicable,https://github.com/inspire-group/PatchGuard,https://www.usenix.org/conference/usenixsecurity21/presentation/xiang,certified localized-patch reference
advtexture,"Adversarial Texture for Fooling Person Detectors in the Physical World",2022,CVPR,A,high,yes,limited,,https://openaccess.thecvf.com/content/CVPR2022/html/Hu_Adversarial_Texture_for_Fooling_Person_Detectors_in_the_Physical_World_CVPR_2022_paper.html,repeatable clothing texture and multi-view
advcat,"Physically Realizable Natural-Looking Clothing Textures Evade Person Detectors via 3D Modeling",2023,CVPR,A,high,yes,human study,https://github.com/WhoTHU/Adversarial_camou,https://openaccess.thecvf.com/content/CVPR2023/html/Hu_Physically_Realizable_Natural-Looking_Clothing_Textures_Evade_Person_Detectors_via_3D_CVPR_2023_paper.html,clothing prior and nonrigid EOT
pan,"Towards Benchmarking and Assessing Visual Naturalness of Physical World Adversarial Attacks",2023,CVPR,A,medium,benchmark,human rating and gaze,https://github.com/zhangsn-19/PAN,https://openaccess.thecvf.com/content/CVPR2023/html/Li_Towards_Benchmarking_and_Assessing_Visual_Naturalness_of_Physical_World_Adversarial_CVPR_2023_paper.html,naturalness measurement
napguard,"NAPGuard: Towards Detecting Naturalistic Adversarial Patches",2024,CVPR,A,high,dataset,naturalistic patch benchmark,https://github.com/wsynuiag/NAPGaurd,https://openaccess.thecvf.com/content/CVPR2024/html/Wu_NAPGuard_Towards_Detecting_Naturalistic_Adversarial_Patches_CVPR_2024_paper.html,patch localization defense
embodied_nav,"Physical Attacks in Embodied Navigation",2025,IROS,A-,medium,yes,human study,https://github.com/chen37058/Physical-Attacks-in-Embodied-Nav,https://arxiv.org/abs/2409.10071,two-stage opacity and object-aware views
iap,"IAP: Invisible Adversarial Patch Attack through Perceptibility-Aware Localization and Perturbation Optimization",2025,ICCV,A,high,no,perceptual and defense evasion,https://github.com/subratkishoredutta/IAP,https://openaccess.thecvf.com/content/ICCV2025/html/Dutta_IAP_Invisible_Adversarial_Patch_Attack_through_Perceptibility-Aware_Localization_and_Perturbation_ICCV_2025_paper.html,position search and perceptibility
pbcat,"PBCAT: Patch-Based Composite Adversarial Training against Physically Realizable Attacks on Object Detection",2025,ICCV,A,high,evaluates physical attacks,not primary,https://github.com/LixiaoTHU/oddefense-PatchAT,https://openaccess.thecvf.com/content/ICCV2025/html/Li_PBCAT_Patch-Based_Composite_Adversarial_Training_against_Physically_Realizable_Attacks_on_ICCV_2025_paper.html,training defense
apde,"Revisiting Adversarial Patch Defenses on Object Detectors: Unified Evaluation Large-Scale Dataset and New Insights",2025,ICCV,A,very_high,includes physical-domain evaluation,naturalistic attacks,https://github.com/Gandolfczjh/APDE,https://openaccess.thecvf.com/content/ICCV2025/html/Zheng_Revisiting_Adversarial_Patch_Defenses_on_Object_Detectors_Unified_Evaluation_Large-Scale_ICCV_2025_paper.html,unified defense evaluation
